exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count,ko_F
udemy,CLF-01,11,"Which of the following is an INCORRECT statement about Scaling, a design principle of Reliability pillar of the AWS Well-Architected Framework?",B,B,Fault tolerance is achieved by a scale out operation,Fault tolerance is achieved by a scale up operation,"A scale up operation implies you scale by adding more power (CPU, RAM) to your existing machine/node",A scale out operation implies you scale by adding more instances to your existing pool of resources,,,다음 중 AWS Well-Architected 프레임워크의 안정성 원칙의 설계 원칙인 확장에 대한 잘못된 설명은 무엇입니까?,확장 작업을 통해 내결함성을 달성합니다.,확장 작업을 통해 내결함성을 달성합니다.,"확장 작업은 기존 시스템/노드에 더 많은 전력(CPU, RAM)을 추가하여 확장하는 것을 의미합니다.",확장 작업은 기존 리소스 풀에 더 많은 인스턴스를 추가하여 확장하는 것을 의미합니다.,,0,,
udemy,CLF-01,12,"Compared to the on-demand instance prices, what is the highest possible discount offered for spot instances?",D,D,10,50,75,90,,,온디맨드 인스턴스 가격과 비교할 때 스팟 인스턴스에 제공되는 가장 높은 할인은 얼마입니까?,10,50,75,90,,0,,
udemy,CLF-01,13,"A multi-national company has just moved its infrastructure from its on-premises data center to AWS Cloud. As part of the shared responsibility model, AWS is responsible for which of the following?",C,C,Service and Communications Protection or Zone Security,Configuring customer applications,Physical and Environmental controls,Patching guest OS,,,다국적 기업이 인프라를 온프레미스 데이터 센터에서 AWS 클라우드로 이전했습니다. 공유 책임 모델의 일부로 AWS는 다음 중 어느 것에 책임이 있습니까?,서비스 및 통신 보호 또는 영역 보안,고객 애플리케이션 구성,물리적 및 환경 제어,게스트 OS 패치,,0,,
udemy,CLF-01,14,"Which of the following AWS Support plans provide access to guidance, configuration, and troubleshooting of AWS interoperability with third-party software? (Select two)",BC,BC,AWS Basic Support,AWS Business Support,AWS Enterprise Support,AWS Developer Support,AWS Corporate Support,,"다음 중 타사 소프트웨어와의 AWS 상호 운용성에 대한 지침, 구성 및 문제 해결에 대한 액세스를 제공하는 AWS Support 플랜은 무엇입니까? (2개 선택)",AWS 기본 지원,AWS 비즈니스 지원,AWS 엔터프라이즈 지원,AWS 개발자 지원,AWS 기업 지원,0,,
udemy,CLF-01,15,"A company runs an application on a fleet of EC2 instances. The company wants to automate the traditional maintenance job of running timely assessments and checking for OS vulnerabilities. As a Cloud Practitioner, which service will you suggest for this use case?",D,D,Amazon GuardDuty,Amazon Macie,AWS Shield,Amazon Inspector,,,한 회사가 여러 EC2 인스턴스에서 애플리케이션을 실행합니다. 이 회사는 적시에 평가를 실행하고 OS 취약성을 확인하는 기존의 유지 관리 작업을 자동화하려고 합니다. 클라우드 실무자로서 이 사용 사례에 대해 어떤 서비스를 제안하시겠습니까?,Amazon GuardDuty,아마존 매트,AWS 실드,아마존 인스펙터,,0,,
udemy,CLF-01,16,"Under the AWS Shared Responsibility Model, which of the following is a shared responsibility of both AWS and the customer?",A,A,Configuration Management,Guarantee data separation among various AWS customers,Infrastructure maintenance of Amazon Simple Storage Service (Amazon S3) storage servers,Availability Zone (AZ) infrastructure maintenance,,,AWS 공동 책임 모델에 따라 다음 중 AWS와 고객 모두의 공동 책임은 무엇입니까?,구성 관리,다양한 AWS 고객 간의 데이터 분리 보장,Amazon Simple Storage Service(Amazon S3) 스토리지 서버의 인프라 유지 관리,가용성 영역(AZ) 인프라 유지 관리,,0,,
udemy,CLF-01,17,"A company uses reserved EC2 instances across multiple units with each unit having its own AWS account. However, some of the units under-utilize their reserved instances while other units need more reserved instances. As a Cloud Practitioner, which of the following would you recommend as the most cost-optimal solution?",C,C,Use AWS Systems Manager to manage AWS accounts of all units and then share the reserved EC2 instances amongst all units,Use AWS Cost Explorer to manage AWS accounts of all units and then share the reserved EC2 instances amongst all units,Use AWS Organizations to manage AWS accounts of all units and then share the reserved EC2 instances amongst all units,Use AWS Trusted Advisor to manage AWS accounts of all units and then share the reserved EC2 instances amongst all units,,,회사는 자체 AWS 계정이 있는 각 장치가 있는 여러 장치에서 예약된 EC2 인스턴스를 사용합니다. 그러나 일부 유닛은 예약 인스턴스를 충분히 활용하지 못하는 반면 다른 유닛은 더 많은 예약 인스턴스를 필요로 합니다. 클라우드 실무자로서 다음 중 가장 비용 최적화된 솔루션으로 추천하는 것은 무엇입니까?,AWS Systems Manager를 사용하여 모든 단위의 AWS 계정을 관리한 다음 모든 단위에서 예약된 EC2 인스턴스를 공유합니다.,AWS Cost Explorer를 사용하여 모든 단위의 AWS 계정을 관리한 다음 모든 단위에서 예약된 EC2 인스턴스를 공유합니다.,AWS Organizations를 사용하여 모든 단위의 AWS 계정을 관리한 다음 모든 단위에서 예약된 EC2 인스턴스를 공유합니다.,AWS Trusted Advisor를 사용하여 모든 유닛의 AWS 계정을 관리한 다음 모든 유닛 간에 예약된 EC2 인스턴스를 공유합니다.,,0,,
udemy,CLF-01,18,Which of the following are the advantages of cloud computing? (Select three),BCE,BCE,Allocate a few months of planning for your infrastructure capacity needs,Trade capital expense for variable expense,Go global in minutes and deploy applications in multiple regions around the world with just a few clicks,Trade variable expense for capital expense,Benefit from massive economies of scale,Spend money on building and maintaining data centers,다음 중 클라우드 컴퓨팅의 장점은 무엇입니까? (3개 선택),인프라 용량 요구 사항에 대한 몇 개월의 계획 할당,가변 비용에 대한 무역 자본 비용,단 몇 번의 클릭만으로 몇 분 만에 세계로 진출하고 전 세계 여러 지역에 애플리케이션을 배포하십시오.,변동비를 자본 비용으로 전환,엄청난 규모의 경제의 이점,0,,데이터 센터 구축 및 유지 관리에 비용 지출
udemy,CLF-01,19,A company wants to improve the resiliency of its flagship application so it wants to move from its traditional database system to a managed AWS database service to support active-active configuration in both the East and West US AWS regions. The active-active configuration with cross-region support is the prime criteria for any database solution that the company considers.Which AWS database service is the right fit for this requirement?,C,C,Amazon DynamoDB with DynamoDB Accelerator,Amazon Relational Database Service (Amazon RDS) for MYSQL,Amazon DynamoDB with global tables,Amazon Aurora with multi-master clusters,,,회사는 플래그십 애플리케이션의 복원력을 개선하여 기존 데이터베이스 시스템에서 관리형 AWS 데이터베이스 서비스로 이동하여 미국 동부 및 서부 AWS 리전 모두에서 활성-활성 구성을 지원하고자 합니다. 지역 간 지원이 포함된 활성-활성 구성은 회사에서 고려하는 모든 데이터베이스 솔루션의 주요 기준입니다.이 요구 사항에 가장 적합한 AWS 데이터베이스 서비스는 무엇입니까?,DynamoDB Accelerator를 사용하는 Amazon DynamoDB,MYSQL용 Amazon Relational Database Service(Amazon RDS),전역 테이블이 있는 Amazon DynamoDB,멀티 마스터 클러스터가 있는 Amazon Aurora,,0,,
udemy,CLF-01,20,Which of the following are correct statements regarding the AWS Global Infrastructure? (Select two),BE,BE,Each Availability Zone (AZ) consists of two or more discrete data centers,Each AWS Region consists of a minimum of three Availability Zones (AZ),Each AWS Region consists of two or more Edge Locations,Each AWS Region consists of a minimum of two Availability Zones (AZ),Each Availability Zone (AZ) consists of one or more discrete data centers,,다음 중 AWS 글로벌 인프라에 대한 올바른 설명은 무엇입니까? (2개 선택),각 가용 영역(AZ)은 둘 이상의 개별 데이터 센터로 구성됩니다.,각 AWS 리전은 최소 3개의 가용 영역(AZ)으로 구성됩니다.,각 AWS 리전은 둘 이상의 엣지 로케이션으로 구성됩니다.,각 AWS 리전은 최소 2개의 가용 영역(AZ)으로 구성됩니다.,각 가용 영역(AZ)은 하나 이상의 개별 데이터 센터로 구성됩니다.,0,,
udemy,CLF-01,21,"An e-commerce company has deployed an RDS database in a single Availability Zone (AZ). The engineering team wants to ensure that in case of an AZ outage, the database should continue working on the same endpoint without any manual administrative intervention. Which of the following solutions can address this use-case?",C,C,Provision the database via AWS CloudFormation,Configure the database in RDS read replica mode with automatic failover to the standby,Configure the database in RDS Multi-AZ deployment with automatic failover to the standby,Deploy the database via AWS Elastic Beanstalk,,,전자상거래 회사는 단일 가용 영역(AZ)에 RDS 데이터베이스를 배포했습니다. 엔지니어링 팀은 AZ 중단 시 데이터베이스가 수동 관리 개입 없이 동일한 엔드포인트에서 계속 작동하도록 보장하고자 합니다. 다음 중 이 사용 사례를 해결할 수 있는 솔루션은 무엇입니까?,AWS CloudFormation을 통해 데이터베이스 프로비저닝,대기로의 자동 장애 조치를 사용하여 RDS 읽기 전용 복제본 모드에서 데이터베이스 구성,대기로의 자동 장애 조치를 사용하여 RDS 다중 AZ 배포에서 데이터베이스 구성,AWS Elastic Beanstalk를 통해 데이터베이스 배포,,0,,
udemy,CLF-01,22,Which AWS Route 53 routing policy would you use to route traffic to multiple resources and also choose how much traffic is routed to each resource?,D,D,Simple routing,latency-based routing,Failover routing,Weighted routing,,,트래픽을 여러 리소스로 라우팅하고 각 리소스로 라우팅되는 트래픽의 양을 선택하는 데 사용하는 AWS Route 53 라우팅 정책은 무엇입니까?,단순 라우팅,대기 시간 기반 라우팅,장애 조치 라우팅,가중 라우팅,,0,,
udemy,CLF-01,23,"A data analytics company is running a proprietary batch analytics application on AWS and wants to use a storage service which would be accessed by hundreds of EC2 instances simultaneously to append data to existing files. As a Cloud Practitioner, which AWS service would you suggest for this use-case?",A,A,Amazon Elastic File System (Amazon EFS),Instance Store,Amazon Simple Storage Service (Amazon S3),Amazon Elastic Block Store (Amazon EBS),,,데이터 분석 회사는 AWS에서 독점 배치 분석 애플리케이션을 실행하고 있으며 수백 개의 EC2 인스턴스에서 동시에 액세스하여 기존 파일에 데이터를 추가하는 스토리지 서비스를 사용하려고 합니다. 클라우드 실무자로서 이 사용 사례에 대해 어떤 AWS 서비스를 제안하시겠습니까?,Amazon 탄력적 파일 시스템(Amazon EFS),인스턴스 스토어,Amazon Simple Storage Service(Amazon S3),Amazon Elastic Block Store(Amazon EBS),,0,,
udemy,CLF-01,24,"A financial services company wants to ensure that its AWS account activity meets the governance, compliance and auditing norms. As a Cloud Practitioner, which AWS service would you recommend for this use-case?",A,A,AWS CloudTrail,AWS Config,AWS Trusted Advisor,Amazon CloudWatch,,,"금융 서비스 회사는 AWS 계정 활동이 거버넌스, 규정 준수 및 감사 규범을 충족하는지 확인하려고 합니다. 클라우드 실무자로서 이 사용 사례에 대해 어떤 AWS 서비스를 추천하시겠습니까?",AWS CloudTrail,AWS 구성,AWS 신뢰할 수 있는 조언자,아마존 클라우드워치,,0,,
udemy,CLF-01,25,"A unicorn startup is building an analytics application with support for a speech-based interface. The application will accept speech-based input from users and then convey results via speech. As a Cloud Practitioner, which solution would you recommend for the given use-case?",A,A,Use Amazon Transcribe to convert speech to text for downstream analysis. Then use Amazon Polly to convey the text results via speech,Use Amazon Translate to convert speech to text for downstream analysis. Then use Amazon Polly to convey the text results via speech,Use Amazon Polly to convert speech to text for downstream analysis. Then use Amazon Translate to convey the text results via speech,Use Amazon Polly to convert speech to text for downstream analysis. Then use Amazon Transcribe to convey the text results via speech,,,유니콘 스타트업이 음성 기반 인터페이스를 지원하는 분석 애플리케이션을 구축하고 있습니다. 응용 프로그램은 사용자의 음성 기반 입력을 수락한 다음 음성을 통해 결과를 전달합니다. 클라우드 실무자로서 주어진 사용 사례에 대해 어떤 솔루션을 추천하시겠습니까?,다운스트림 분석을 위해 Amazon Transcribe를 사용하여 음성을 텍스트로 변환합니다. 그런 다음 Amazon Polly를 사용하여 음성을 통해 텍스트 결과를 전달합니다.,다운스트림 분석을 위해 Amazon Translate를 사용하여 음성을 텍스트로 변환합니다. 그런 다음 Amazon Polly를 사용하여 음성을 통해 텍스트 결과를 전달합니다.,다운스트림 분석을 위해 Amazon Polly를 사용하여 음성을 텍스트로 변환합니다. 그런 다음 Amazon Translate를 사용하여 음성을 통해 텍스트 결과를 전달합니다.,다운스트림 분석을 위해 Amazon Polly를 사용하여 음성을 텍스트로 변환합니다. 그런 다음 Amazon Transcribe를 사용하여 음성을 통해 텍스트 결과를 전달합니다.,,0,,
udemy,CLF-01,26,"A big data analytics company is moving its IT infrastructure from an on-premises data center to AWS Cloud. The company has some server-bound software licenses that it wants to use on AWS. As a Cloud Practitioner, which of the following EC2 instance types would you recommend to the company?",D,D,On-Demand Instance,Reserved Instance (RI),Dedicated Instance,Dedicated Host,,,빅 데이터 분석 회사는 IT 인프라를 온프레미스 데이터 센터에서 AWS 클라우드로 이전하고 있습니다. 이 회사는 AWS에서 사용하려는 일부 서버 바인딩 소프트웨어 라이선스를 보유하고 있습니다. 클라우드 실무자로서 다음 중 회사에 추천할 EC2 인스턴스 유형은 무엇입니까?,온디맨드 인스턴스,예약 인스턴스(RI),전용 인스턴스,전용 호스트,,0,,
udemy,CLF-01,27,The DevOps team at an IT company is moving 500 GB of data from an EC2 instance to an S3 bucket in the same region. Which of the following scenario captures the correct charges for this data transfer?,D,D,The company would be charged for both the outbound data transfer from EC2 instance as well as the inbound data transfer into the S3 bucket,The company would only be charged for the outbound data transfer from EC2 instance,The company would only be charged for the inbound data transfer into the S3 bucket,The company would not be charged for this data transfer,,,IT 회사의 DevOps 팀은 500GB의 데이터를 EC2 인스턴스에서 같은 지역의 S3 버킷으로 옮기고 있습니다. 다음 중 이 데이터 전송에 대한 올바른 요금을 캡처하는 시나리오는 무엇입니까?,회사는 EC2 인스턴스의 아웃바운드 데이터 전송과 S3 버킷으로의 인바운드 데이터 전송에 대해 요금을 부과합니다.,회사는 EC2 인스턴스로부터의 아웃바운드 데이터 전송에 대해서만 비용을 청구합니다.,회사는 S3 버킷으로의 인바운드 데이터 전송에 대해서만 비용을 청구합니다.,회사는 이 데이터 전송에 대해 비용을 청구하지 않습니다.,,0,,
udemy,CLF-01,28,Which of the following is a recommended way to provide programmatic access to AWS resources?,C,C,Use IAM user group to access AWS resources programmatically,Create a new IAM user and share the username and password,Use Access Key ID and Secret Access Key to access AWS resources programmatically,Use AWS Multi-Factor Authentication (AWS MFA) to access AWS resources programmatically,,,다음 중 AWS 리소스에 대한 프로그래밍 방식 액세스를 제공하기 위해 권장되는 방법은 무엇입니까?,IAM 사용자 그룹을 사용하여 프로그래밍 방식으로 AWS 리소스에 액세스,새 IAM 사용자를 생성하고 사용자 이름과 암호를 공유합니다.,액세스 키 ID 및 보안 액세스 키를 사용하여 프로그래밍 방식으로 AWS 리소스에 액세스,AWS Multi-Factor Authentication(AWS MFA)을 사용하여 프로그래밍 방식으로 AWS 리소스에 액세스,,0,,
udemy,CLF-01,29,Which tool/service will help you access AWS services using programming language-specific APIs?,B,B,AWS Command Line Interface (CLI),AWS Software Developer Kit (SDK),AWS Management Console,Integrated Development Environments (IDE),,,프로그래밍 언어별 API를 사용하여 AWS 서비스에 액세스하는 데 도움이 되는 도구/서비스는 무엇입니까?,AWS 명령줄 인터페이스(CLI),AWS 소프트웨어 개발자 키트(SDK),AWS 관리 콘솔,통합 개발 환경(IDE),,0,,
udemy,CLF-01,30,AWS Web Application Firewall (WAF) offers protection from common web exploits at which layer?,B,B,Layer 4 and 7,Layer 7,Layer 3,Layer 4,,,AWS 웹 애플리케이션 방화벽(WAF)은 어떤 계층에서 일반적인 웹 익스플로잇으로부터 보호를 제공합니까?,레이어 4 및 7,레이어 7,레이어 3,레이어 4,,0,,
udemy,CLF-01,31,A multi-national corporation wants to get expert professional advice on migrating to AWS and managing their applications on AWS Cloud. Which of the following entities would you recommend for this engagement?,D,D,Concierge Support Team,APN Technology Partner,AWS Trusted Advisor,APN Consulting Partner,,,다국적 기업이 AWS로 마이그레이션하고 AWS 클라우드에서 애플리케이션을 관리하는 데 대한 전문적인 조언을 얻고자 합니다. 다음 중 이 계약에 대해 추천할 엔터티는 무엇입니까?,컨시어지 지원팀,APN 기술 파트너,AWS 신뢰할 수 있는 조언자,APN 컨설팅 파트너,,0,,
udemy,CLF-01,32,A startup wants to migrate its data and applications from the on-premises data center to AWS Cloud. Which of the following options can be used by the startup to help with this migration? (Select two),AC,AC,Leverage AWS Professional Services to accelerate the infrastructure migration,Raise a support ticket with AWS Support for further assistance,Utilize AWS Partner Network (APN) to build a custom solution for this infrastructure migration,Consult moderators on AWS Developer Forums,Use AWS Trusted Advisor to automate the infrastructure migration,,스타트업이 온프레미스 데이터 센터에서 AWS 클라우드로 데이터와 애플리케이션을 마이그레이션하려고 합니다. 다음 중 이 마이그레이션을 돕기 위해 스타트업에서 사용할 수 있는 옵션은 무엇인가요? (2개 선택),AWS Professional Services를 활용하여 인프라 마이그레이션 가속화,추가 지원을 위해 AWS Support에 지원 티켓을 제출하십시오.,AWS 파트너 네트워크(APN)를 활용하여 이 인프라 마이그레이션을 위한 맞춤형 솔루션 구축,AWS 개발자 포럼에서 중재자에게 문의하십시오.,AWS Trusted Advisor를 사용하여 인프라 마이그레이션 자동화,0,,
udemy,CLF-01,33,A company wants to move to AWS cloud and release new features with quick iterations by utilizing relevant AWS services whenever required. Which of the following characteristics of AWS Cloud does it want to leverage?,C,C,Reliability,Scalability,Agility,Elasticity,,,회사는 필요할 때마다 관련 AWS 서비스를 활용하여 AWS 클라우드로 이동하고 빠른 반복으로 새로운 기능을 릴리스하려고 합니다. 다음 중 활용하려는 AWS 클라우드의 특성은 무엇입니까?,신뢰할 수 있음,확장성,민첩,탄력,,0,,
udemy,CLF-01,34,An IT company is planning to migrate from an on-premises environment to AWS Cloud. Which of the following expense areas would result in cost savings when the company moves to AWS Cloud? (Select two),CD,CD,Developer salary,SaaS application license fee,Data center hardware infrastructure expenditure,Data center physical security expenditure,Project manager salary,,IT 회사는 온프레미스 환경에서 AWS 클라우드로 마이그레이션할 계획입니다. 다음 비용 영역 중 회사가 AWS 클라우드로 이전할 때 비용을 절감할 수 있는 것은 무엇입니까? (2개 선택),개발자 급여,SaaS 애플리케이션 라이선스 요금,데이터 센터 하드웨어 인프라 비용,데이터 센터 물리적 보안 비용,프로젝트 관리자 급여,0,,
udemy,CLF-01,35,"A silicon valley based healthcare startup stores anonymized patient health data on Amazon S3. The CTO further wants to ensure that any sensitive data on S3 is discovered and identified to prevent any sensitive data leaks. As a Cloud Practitioner, which AWS service would you recommend addressing this use-case?",B,B,AWS Glue,Amazon Macie,Amazon Polly,AWS Secrets Manager,,,실리콘 밸리에 기반을 둔 의료 스타트업은 익명의 환자 건강 데이터를 Amazon S3에 저장합니다. 또한 CTO는 민감한 데이터 유출을 방지하기 위해 S3의 모든 민감한 데이터를 검색하고 식별하기를 원합니다. 클라우드 실무자로서 이 사용 사례를 해결하기 위해 어떤 AWS 서비스를 추천하시겠습니까?,AWS 글루,아마존 매트,아마존 폴리,AWS 비밀 관리자,,0,,
udemy,CLF-01,36,A company needs a storage solution for a project wherein the data is accessed less frequently but needs rapid access when required. Which S3 storage class is the MOST cost-effective for the given use-case?,C,C,Amazon S3 Intelligent-Tiering (S3 Intelligent-Tiering),Amazon S3 Standard,Amazon S3 Standard-Infrequent Access (S3 Standard-IA),Amazon S3 Glacier (S3 Glacier),,,회사는 데이터에 덜 자주 액세스하지만 필요할 때 신속하게 액세스해야 하는 프로젝트를 위한 스토리지 솔루션이 필요합니다. 주어진 사용 사례에서 가장 비용 효율적인 S3 스토리지 클래스는 무엇입니까?,Amazon S3 지능형 계층화(S3 지능형 계층화),아마존 S3 스탠다드,Amazon S3 Standard-Infrequent Access(S3 Standard-IA),Amazon S3 Glacier(S3 빙하),,0,,
udemy,CLF-01,37,AWS Shield Advanced provides expanded DDoS attack protection for web applications running on which of the following resources? (Select two),CD,CD,AWS Elastic Beanstalk,Amazon API Gateway,AWS Global Accelerator,Amazon Route 53,AWS CloudFormation,,AWS Shield Advanced는 다음 리소스에서 실행되는 웹 애플리케이션에 대해 확장된 DDoS 공격 보호를 제공합니까? (2개 선택),AWS Elastic Beanstalk,아마존 API 게이트웨이,AWS 글로벌 액셀러레이터,아마존 루트 53,AWS 클라우드포메이션,0,,
udemy,CLF-01,38,An intern at an IT company provisioned a Linux based On-demand EC2 instance with per-second billing but terminated it within 30 seconds as he wanted to provision another instance type. What is the duration for which the instance would be charged?,A,A,60 seconds,600 seconds,30 seconds,300 seconds,,,한 IT 회사의 인턴은 초당 청구되는 Linux 기반 온디맨드 EC2 인스턴스를 프로비저닝했지만 다른 인스턴스 유형을 프로비저닝하고 싶어 30초 이내에 종료했습니다. 인스턴스에 요금이 청구되는 기간은 얼마입니까?,60초,600초,30 초,300초,,0,,
