exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,en_G,en_H,en_I,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count
examtopics,CLF-01,14,A company plans to create a data lake that uses Amazon S3.Which factor will have the MOST effect on cost?,A,A,The selection of S3 storage tiers,Charges to transfer existing data into Amazon S3,The addition of S3 bucket policies,S3 ingest fees for each request,,,,,,회사는 Amazon S3을 사용하는 데이터 레이크를 만들 계획입니다. 어떤 요소가 비용에 가장 큰 영향을 미칩니 까?,S3 스토리지 계층의 선택,기존 데이터를 Amazon S3로 전송하는 요금,S3 버킷 정책 추가,S3 각 요청에 대한 수수료를 섭취합니다,,0,4
examtopics,CLF-01,15,A company is launching an ecommerce application that must always be available. The application will run on Amazon EC2 instances continuously for the next12 months.What is the MOST cost-effective instance purchasing option that meets these requirements?,B,B,Spot Instances,Savings Plans,Dedicated Hosts,On-Demand Instances,,,,,,회사는 항상 사용할 수 있어야하는 전자 상거래 응용 프로그램을 시작하고 있습니다. 응용 프로그램은 다음 12 개월 동안 Amazon EC2 인스턴스에서 지속적으로 실행됩니다. 이러한 요구 사항을 충족하는 가장 비용 효율적인 인스턴스 구매 옵션은 무엇입니까?,스팟 인스턴스,저축 계획,전용 호스트,주문형 인스턴스,,0,4
examtopics,CLF-01,16,Which AWS service or feature can a company use to determine which business unit is using specific AWS resources?,A,A,Cost allocation tags,Key pairs,Amazon Inspector,AWS Trusted Advisor,,,,,,회사가 특정 AWS 리소스를 사용하는 사업 단위를 결정하는 데 어떤 AWS 서비스 또는 기능을 사용할 수 있습니까?,비용 할당 태그,키 쌍,Amazon Inspector,AWS Trusted Advisor,,0,4
examtopics,CLF-01,17,"A company wants to migrate its workloads to AWS, but it lacks expertise in AWS Cloud computing.Which AWS service or feature will help the company with its migration?",BD,D,AWS Trusted Advisor,AWS Consulting Partners,AWS Artifacts,AWS Managed Services,,,,,,회사는 워크로드를 AWS로 마이그레이션하려고하지만 AWS 클라우드 컴퓨팅에 대한 전문 지식이 부족합니다. AWS 서비스 또는 기능이 회사의 마이그레이션에 도움이 될까요?,AWS Trusted Advisor,AWS 컨설팅 파트너,AWS 인공물,AWS 관리 서비스,,0,4
examtopics,CLF-01,18,Which AWS service or tool should a company use to centrally request and track service limit increases?,B,B,AWS Config,Service Quotas,AWS Service Catalog,AWS Budgets,,,,,,회사가 중앙에 요청하고 서비스 한도를 추적하기 위해 어떤 AWS 서비스 또는 도구를 사용해야합니까?,AWS Config,서비스 할당량,AWS 서비스 카탈로그,AWS Budgets,,0,4
examtopics,CLF-01,19,Which documentation does AWS Artifact provide?,B,B,Amazon EC2 terms and conditions,AWS ISO certifications,A history of a company's AWS spending,A list of previous-generation Amazon EC2 instance types,,,,,,AWS 아티팩트는 어떤 문서를 제공합니까?,Amazon EC2 이용 약관,AWS ISO 인증,회사의 AWS 지출의 역사,이전 세대 Amazon EC2 인스턴스 유형 목록,,0,4
examtopics,CLF-01,20,Which task requires using AWS account root user credentials?,B,B,Viewing billing information,Changing the AWS Support plan,Starting and stopping Amazon EC2 instances,Opening an AWS Support case,,,,,,AWS 계정 루트 사용자 자격 증명을 사용해야하는 작업은 무엇입니까?,청구 정보보기,AWS 지원 계획 변경,Amazon EC2 인스턴스 시작 및 중지,AWS 지원 사례 열기,,0,4
examtopics,CLF-01,21,A company needs to simultaneously process hundreds of requests from different users.Which combination of AWS services should the company use to build an operationally efficient solution?,A,B,Amazon Simple Queue Service (Amazon SQS) and AWS Lambda,AWS Data Pipeline and Amazon EC2,Amazon Kinesis and Amazon Athena,AWS Amplify and AWS AppSync,,,,,,회사는 다른 사용자의 수백 건의 요청을 동시에 처리해야합니다. 회사는 운영 효율적인 솔루션을 구축하기 위해 어떤 AWS 서비스 조합을 사용해야합니까?,Amazon Simple Queue Service (Amazon Sqs) 및 AWS Lambda,AWS 데이터 파이프 라인 및 Amazon EC2,아마존 키네시스와 아마존 아테나,AWS Amplify 및 AWS AppSync,,0,4
examtopics,CLF-01,22,What is the scope of a VPC within the AWS network?,D,D,A VPC can span all Availability Zones globally.,A VPC must span at least two subnets in each AWS Region.,A VPC must span at least two edge locations in each AWS Region.,A VPC can span all Availability Zones within an AWS Region.,,,,,,AWS 네트워크 내에서 VPC의 범위는 얼마입니까?,VPC는 전 세계적으로 모든 가용성 영역에 걸쳐있을 수 있습니다.,VPC는 각 AWS 영역에서 최소 2 개의 서브넷에 걸쳐 있어야합니다.,VPC는 각 AWS 영역에서 최소 2 개의 가장자리 위치에 걸쳐 있어야합니다.,VPC는 AWS 영역 내의 모든 가용 영역에 걸쳐있을 수 있습니다.,,0,4
examtopics,CLF-01,23,Which of the following are components of an AWS Site-to-Site VPN connection? (Choose two.),BD,BD,AWS Storage Gateway,Virtual private gateway,NAT gateway,Customer gateway,Internet gateway,,,,,다음 중 AWS 사이트 간 VPN 연결의 구성 요소는 무엇입니까? (2 개 선택.),AWS 스토리지 게이트웨이,가상 개인 게이트웨이,NAT gateway,고객 게이트웨이,Internet gateway,0,5
examtopics,CLF-01,24,A company needs to establish a connection between two VPCs. The VPCs are located in two different AWS Regions. The company wants to use the existing infrastructure of the VPCs for this connection.Which AWS service or feature can be used to establish this connection?,B,B,AWS Client VPN,VPC peering,AWS Direct Connect,VPC endpoints,,,,,,회사는 두 VPC 사이의 연결을 설정해야합니다. VPC는 두 개의 다른 AWS 지역에 있습니다. 회사는이 연결에 VPC의 기존 인프라를 사용하려고합니다. 어떤 AWS 서비스 또는 기능을 사용 하여이 연결을 설정할 수 있습니까?,AWS 클라이언트 VPN,VPC 피어링,AWS Direct Connect,VPC 엔드 포인트,,0,4
examtopics,CLF-01,25,"According to the AWS shared responsibility model, what responsibility does a customer have when using Amazon RDS to host a database?",AC,A,Manage connections to the database,Install Microsoft SQL Server,Design encryption-at-rest strategies,Apply minor database patches,,,,,,AWS 공유 책임 모델에 따르면 Amazon RDS를 사용하여 데이터베이스를 호스팅 할 때 고객은 어떤 책임이 있습니까?,데이터베이스에 대한 연결을 관리합니다,Microsoft SQL Server를 설치하십시오,암호화 전략 디자인,사소한 데이터베이스 패치를 적용하십시오,,0,4
examtopics,CLF-01,26,What are some advantages of using Amazon EC2 instances to host applications in the AWS Cloud instead of on premises? (Choose two.),BDE,DE,EC2 includes operating system patch management.,"EC2 integrates with Amazon VPC, AWS CloudTrail, and AWS Identity and Access Management (IAM).",EC2 has a 100% service level agreement (SLA).,"EC2 has a flexible, pay-as-you-go pricing model.",EC2 has automatic storage cost optimization.,,,,,Amazon EC2 인스턴스를 사용하여 구내 대신 AWS 클라우드에서 애플리케이션을 호스팅하면 몇 가지 장점은 무엇입니까? (2 개 선택.),EC2에는 운영 체제 패치 관리가 포함됩니다.,"EC2는 Amazon VPC, AWS CloudTrail 및 AWS Identity and Access Management (IAM)와 통합됩니다.",EC2에는 100 % 서비스 수준 계약 (SLA)이 있습니다.,EC2에는 유연하고 유료 요금 가격 모델이 있습니다.,EC2에는 자동 저장 비용 최적화가 있습니다.,0,5
examtopics,CLF-01,27,A user needs to determine whether an Amazon EC2 instance's security groups were modified in the last month.How can the user see if a change was made?,C,C,Use Amazon EC2 to see if the security group was changed.,Use AWS Identity and Access Management (IAM) to see which user or role changed the security group.,Use AWS CloudTrail to see if the security group was changed.,Use Amazon CloudWatch to see if the security group was changed.,,,,,,사용자는 지난 달에 Amazon EC2 인스턴스의 보안 그룹이 수정되었는지 여부를 결정해야합니다. 사용자는 어떻게 변경되었는지 확인할 수 있습니까?,Amazon EC2를 사용하여 보안 그룹이 변경되었는지 확인하십시오.,AWS Identity 및 Access Management (IAM)를 사용하여 보안 그룹을 변경 한 사용자 또는 역할을 확인하십시오.,AWS CloudTrail을 사용하여 보안 그룹이 변경되었는지 확인하십시오.,Amazon CloudWatch를 사용하여 보안 그룹이 변경되었는지 확인하십시오.,,0,4
examtopics,CLF-01,28,Which AWS service will help protect applications running on AWS from DDoS attacks?,C,C,Amazon GuardDuty,AWS WAF,AWS Shield,Amazon Inspector,,,,,,DDOS 공격으로부터 AWS에서 실행되는 응용 프로그램을 보호하는 데 도움이되는 AWS 서비스는 무엇입니까?,Amazon GuardDuty,AWS WAF,AWS Shield,Amazon Inspector,,0,4
examtopics,CLF-01,29,Which AWS service or feature acts as a firewall for Amazon EC2 instances?,D,D,Network ACL,Elastic network interface,Amazon VPC,Security group,,,,,,Amazon EC2 인스턴스의 방화벽 역할을하는 AWS 서비스 또는 기능은 무엇입니까?,Network ACL,탄성 네트워크 인터페이스,Amazon VPC,보안 그룹,,0,4
examtopics,CLF-01,30,How does the AWS Cloud pricing model differ from the traditional on-premises storage pricing model?,BC,B,AWS resources do not incur costs,There are no infrastructure operating costs,There are no upfront cost commitments,There are no software licensing costs,,,,,,AWS 클라우드 가격 책정 모델은 기존 온 프레미스 스토리지 가격 모델과 어떻게 다릅니 까?,AWS 자원은 비용이 발생하지 않습니다,인프라 운영 비용은 없습니다,선불 비용 약속은 없습니다,소프트웨어 라이센스 비용이 없습니다,,0,4
examtopics,CLF-01,31,A company has a single Amazon EC2 instance. The company wants to adopt a highly available architecture.What can the company do to meet this requirement?,B,B,Scale vertically to a larger EC2 instance size.,Scale horizontally across multiple Availability Zones.,Purchase an EC2 Dedicated Instance.,Change the EC2 instance family to a compute optimized instance.,,,,,,회사에는 단일 Amazon EC2 인스턴스가 있습니다. 회사는이 가용 한 아키텍처를 채택하려고합니다. 회사는이 요구 사항을 충족시키기 위해 무엇을 할 수 있습니까?,더 큰 EC2 인스턴스 크기로 수직으로 스케일.,여러 가용성 구역에서 수평으로 스케일.,EC2 전용 인스턴스를 구매하십시오.,EC2 인스턴스 패밀리를 컴퓨팅 최적화 된 인스턴스로 변경하십시오.,,0,4
examtopics,CLF-01,32,"A company's on-premises application deployment cycle was 3-4 weeks. After migrating to the AWS Cloud, the company can deploy the application in 2-3 days.Which benefit has this company experienced by moving to the AWS Cloud?",C,A,Elasticity,Flexibility,Agility,Resilience,,,,,,회사의 온-프레미스 애플리케이션 배포주기는 3-4 주였습니다. AWS 클라우드로 마이그레이션 한 후 회사는 2-3 일 안에 응용 프로그램을 배포 할 수 있습니다.이 회사는 AWS 클라우드로 이동함으로써 어떤 이점이 있습니까?,탄력,유연성,민첩,회복력,,0,4
examtopics,CLF-01,33,Which of the following are included in AWS Enterprise Support? (Choose two.),AD,AD,AWS technical account manager (TAM),AWS partner-led support,AWS Professional Services,Support of third-party software integration to AWS,5-minute response time for critical issues,,,,,다음 중 AWS 엔터프라이즈 지원에 포함 된 것은 무엇입니까? (2 개 선택.),AWS 기술 계정 관리자 (TAM),AWS 파트너 주도 지원,AWS 전문 서비스,AWS에 대한 타사 소프트웨어 통합 지원,중요한 문제의 경우 5 분 응답 시간,0,5
examtopics,CLF-01,34,A global media company uses AWS Organizations to manage multiple AWS accounts.Which AWS service or feature can the company use to limit the access to AWS services for member accounts?,B,C,AWS Identity and Access Management (IAM),Service control policies (SCPs),Organizational units (OUs),Access control lists (ACLs),,,,,,Global Media Company는 AWS 조직을 사용하여 여러 AWS 계정을 관리합니다. 회사가 회원 계정에 대한 AWS 서비스에 대한 액세스를 제한하기 위해 어떤 AWS 서비스 또는 기능을 사용할 수 있습니까?,AWS Identity and Access Management (IAM),서비스 제어 정책 (SCP),조직 단위 (OUS),액세스 제어 목록 (ACLS),,0,4
examtopics,CLF-01,35,A company wants to limit its employees' AWS access to a portfolio of predefined AWS resources.Which AWS solution should the company use to meet this requirement?,C,C,AWS Config,AWS software development kits (SDKs),AWS Service Catalog,AWS AppSync,,,,,,회사는 직원의 AWS가 사전 정의 된 AWS 리소스 포트폴리오에 대한 액세스를 제한하려고합니다. 회사 가이 요구 사항을 충족하기 위해 어떤 솔루션을 사용해야합니까?,AWS Config,AWS 소프트웨어 개발 키트 (SDK),AWS 서비스 카탈로그,AWS AppSync,,0,4
examtopics,CLF-01,36,"An online company was running a workload on premises and was struggling to launch new products and features. After migrating the workload to AWS, the company can quickly launch products and features and can scale its infrastructure as required.Which AWS Cloud value proposition does this scenario describe?",A,A,Business agility,High availability,Security,Centralized auditing,,,,,,온라인 회사는 구내에서 워크로드를 운영하고 있으며 새로운 제품과 기능을 출시하기 위해 고군분투하고있었습니다. 워크로드를 AWS로 마이그레이션 한 후 회사는 제품과 기능을 신속하게 출시 할 수 있으며 필요에 따라 인프라를 확장 할 수 있습니다.이 시나리오는이 시나리오가 설명합니까?,비즈니스 민첩성,고 가용성,보안,중앙 집중식 감사,,0,4
examtopics,CLF-01,37,Which of the following are advantages of the AWS Cloud? (Choose two.),BC,BC,AWS management of user-owned infrastructure,Ability to quickly change required capacity,High economies of scale,Increased deployment time to market,Increased fixed expenses,,,,,다음 중 AWS 클라우드의 장점은 무엇입니까? (2 개 선택.),사용자 소유 인프라의 AWS 관리,필요한 용량을 신속하게 바꿀 수있는 능력,규모의 높은 경제,배포 시간이 증가했습니다,고정 비용 증가,0,5
examtopics,CLF-01,38,AWS has the ability to achieve lower pay-as-you-go pricing by aggregating usage across hundreds of thousands of users.This describes which advantage of the AWS Cloud?,C,C,Launch globally in minutes,Increase speed and agility,High economies of scale,No guessing about compute capacity,,,,,,AWS는 수십만 명의 사용자에 대한 사용량을 집계하여 저렴한 가격을 달성 할 수있는 능력을 가지고 있습니다. 이것은 AWS 클라우드의 어떤 장점을 설명합니까?,몇 분 안에 전 세계적으로 출시됩니다,속도와 민첩성을 높입니다,규모의 높은 경제,컴퓨팅 용량에 대한 추측은 없습니다,,0,4
examtopics,CLF-01,39,A company has a database server that is always running. The company hosts the server on Amazon EC2 instances. The instance sizes are suitable for the workload. The workload will run for 1 year.Which EC2 instance purchasing option will meet these requirements MOST cost-effectively?,A,A,Standard Reserved Instances,On-Demand Instances,Spot Instances,Convertible Reserved Instances,,,,,,회사에는 항상 실행중인 데이터베이스 서버가 있습니다. 이 회사는 Amazon EC2 인스턴스에서 서버를 호스팅합니다. 인스턴스 크기는 워크로드에 적합합니다. Workload는 1 년 동안 실행됩니다. EC2 인스턴스 구매 옵션은 이러한 요구 사항을 가장 비용 효율적으로 충족합니까?,표준 예약 인스턴스,주문형 인스턴스,스팟 인스턴스,컨버터블 예약 인스턴스,,0,4
examtopics,CLF-01,40,A company is developing a mobile app that needs a high-performance NoSQL database.Which AWS services could the company use for this database? (Choose two.),DE,BE,Amazon Aurora,Amazon RDS,Amazon Redshift,Amazon DocumentDB (with MongoDB compatibility),Amazon DynamoDB,,,,,회사는 고성능 NOSQL 데이터베이스가 필요한 모바일 앱을 개발하고 있습니다.이 데이터베이스에 어떤 AWS 서비스를 사용할 수 있습니까? (2 개 선택.),Amazon Aurora,Amazon RDS,Amazon Redshift,Amazon DocumentDB (MongoDB 호환성),Amazon DynamoDB,0,5
examtopics,CLF-01,41,"Which tasks are the responsibility of AWS, according to the AWS shared responsibility model? (Choose two.)",BD,BD,Patch the Amazon EC2 guest operating system.,Upgrade the firmware of the network infrastructure.,Apply password rotation for IAM users.,Maintain the physical security of edge locations.,Maintain least privilege access to the root user account.,,,,,AWS 공유 책임 모델에 따르면 AWS의 책임은 무엇입니까? (2 개 선택.),Amazon EC2 게스트 운영 체제를 패치하십시오.,네트워크 인프라의 펌웨어를 업그레이드하십시오.,IAM 사용자에게는 비밀번호 회전을 적용하십시오.,에지 위치의 물리적 보안을 유지하십시오.,루트 사용자 계정에 대한 최소 특권 액세스를 유지하십시오.,2,5
examtopics,CLF-01,42,Which of the following are features of network ACLs as they are used in the AWS Cloud? (Choose two.),AD,AD,They are stateless.,They are stateful.,They evaluate all rules before allowing traffic.,"They process rules in order, starting with the lowest numbered rule, when deciding whether to allow traffic.",They operate at the instance level.,,,,,다음 중 AWS 클라우드에서 사용되는 네트워크 ACL의 기능은 무엇입니까? (2 개 선택.),그들은 무국적입니다.,그들은 상태가 있습니다.,트래픽을 허용하기 전에 모든 규칙을 평가합니다.,트래픽을 허용할지 여부를 결정할 때 가장 낮은 번호 규칙부터 시작하여 규칙을 순서대로 처리합니다.,인스턴스 수준에서 작동합니다.,0,5
examtopics,CLF-01,43,A company has designed its AWS Cloud infrastructure to run its workloads effectively. The company also has protocols in place to continuously improve supporting processes.Which pillar of the AWS Well-Architected Framework does this scenario represent?,D,D,Security,Performance efficiency,Cost optimization,Operational excellence,,,,,,회사는 워크로드를 효과적으로 실행하도록 AWS 클라우드 인프라를 설계했습니다. 이 회사는 또한 지원 프로세스를 지속적으로 개선하기위한 프로토콜을 갖추고 있습니다. AWS가 잘 구축 된 프레임 워크의 기둥은이 시나리오를 나타내는가?,보안,성능 효율성,비용 최적화,운영 효율성,,0,4
examtopics,CLF-01,44,Which AWS service or feature can be used to create a private connection between an on-premises workload and an AWS Cloud workload?,C,D,Amazon Route 53,Amazon Macie,AWS Direct Connect,AWS PrivateLink,,,,,,온 프레미스 워크로드와 AWS 클라우드 워크로드 사이에 개인 연결을 만들기 위해 어떤 AWS 서비스 또는 기능을 사용할 수 있습니까?,Amazon Route 53,당신이 가진 아마존,AWS Direct Connect,AWS Privatelink,,0,4
examtopics,CLF-01,45,A company needs to graphically visualize AWS billing and usage over time. The company also needs information about its AWS monthly costs.Which AWS Billing and Cost Management tool provides this data in a graphical format?,B,B,AWS Bills,Cost Explorer,AWS Cost and Usage Report,AWS Budgets,,,,,,회사는 시간이 지남에 따라 AWS 청구 및 사용량을 그래픽으로 시각화해야합니다. 회사는 또한 AWS 월별 비용에 대한 정보가 필요합니다. AWS 청구 및 비용 관리 도구는이 데이터를 그래픽 형식으로 제공합니까?,AWS 청구서,Cost Explorer,AWS 비용 및 사용 보고서,AWS Budgets,,0,4
examtopics,CLF-01,46,"A company wants to run production workloads on AWS. The company needs concierge service, a designated AWS technical account manager (TAM), and technical support that is available 24 hours a day, 7 days a week.Which AWS Support plan will meet these requirements?",B,B,AWS Basic Support,AWS Enterprise Support,AWS Business Support,AWS Developer Support,,,,,,"회사는 AWS에서 생산 워크로드를 실행하려고합니다. 이 회사는 지정된 AWS 기술 계정 관리자 (TAM) 컨시어지 서비스 및 하루 24 시간, 주 7 일, AWS 지원 계획이 이러한 요구 사항을 충족 할 수있는 기술 지원이 필요합니까?",AWS Basic Support,AWS Enterprise Support,AWS Business Support,AWS Developer Support,,0,4
examtopics,CLF-01,47,Which architecture design principle describes the need to isolate failures between dependent components in the AWS Cloud?,D,D,Use a monolithic design.,Design for automation.,Design for single points of failure.,Loosely couple components.,,,,,,어떤 아키텍처 설계 원칙이 AWS 클라우드의 종속 구성 요소간에 고장을 분리 해야하는지 설명하는 것은 무엇입니까?,모 놀리 식 디자인을 사용하십시오.,자동화 설계.,단일 고장 지점을위한 설계.,느슨하게 부부 구성 요소.,,0,4
