exam_category,exam_type,quiz_id,quiz_title,most_vote,correct,A,B,C,D,E,F,G,H,I
examtopics,CLF-01,16,회사 회사 회사 특정가 aws 리소스 리소스를 사용하는 사업 단위 단위를 결정하는 데 데 어떤 a aws 서비스 또는 기능을 사용 할 있습니까 있습니까?,A,A,비용 비용 태그,키 키,아마존 아마존,aws 신뢰 할 신뢰있는 고문 고문,난,난,난,난,난
examtopics,CLF-01,17,회사 회사 회사 워크는를를 aws로 마이그레이션하려고하려고하지만 aws 클라우드 컴퓨팅 컴퓨팅에 대한 전문 지식이합니다합니다.aws 서비스 또는 서비스이이 회사의 마이그레이션에에 도움 될까 요 요?,BD,D,aws 신뢰 할 신뢰있는 고문 고문,aws 컨설팅 파트너,aws 인공물,aws 관리 서비스,난,난,난,난,난
examtopics,CLF-01,18,회사 회사 회사 중앙가 요청하고하고 서비스 한도를 추적 추적하기 위해 어떤 a aws 서비스 또는 도구 도구를해야합니까?,B,B,aws 구성,서비스 서비스 당량,aws 서비스 카탈로그,aws 예산,난,난,난,난,난
examtopics,CLF-01,19,aws 아티팩트는 아티팩트 문서 문서를 제공합니까?,B,B,아마존 EC2 이용 2,aws iso 인증,회사 회사 aws의의 역사,이전 이전 Amazon EC2 인스턴스 유형 목록,난,난,난,난,난
examtopics,CLF-01,20,aws 계정 루트 계정 자격 자격 증명을 사용 사용해야하는은은 무엇입니까?,B,B,청구 청구보기,aws 지원 계획 지원,Amazon EC2 인스턴스 2 및 중지,aws 지원 사례 지원,난,난,난,난,난
examtopics,CLF-01,21,회사 회사 다른는는의 수백 건 건의 요청을을에 처리해야합니다합니다.회사 회사 회사 운영는 적 인 인 솔루션을 구축하기 위해 위해 어떤 aws 서비스 조합을 사용해야합니까?,A,B,Amazon Simple Queue Service (Amazon Sqs) 및 Aws Lambda,aws 데이터 파이프 데이터 및 아마존 EC2,아마존 아마존와 키네시스 아테나,AWS AMPLIFY ify aws appsync,난,난,난,난,난
examtopics,CLF-01,22,aws 네트워크 내 네트워크 네트워크 vpc의 범위는 얼마입니까?,D,D,vpc 전는 세계 적 적으로 모든 가용성 가용성 영역에 걸쳐있을 수 있습니다 있습니다.,vpc 각는는 aws 영역에서 최소 최소 2 개의 서브넷에에 걸쳐합니다합니다.,vpc 각는는 aws 영역에서 최소 최소 2 개의 가장자리 위치 위치에 걸쳐 있어야합니다.,vpc s aws 영역 내 내의 모든 가용 영역 영역에 걸쳐있을 수 있습니다.,난,난,난,난,난
examtopics,CLF-01,23,다음 다음 다음 aws 중 간 간 vpn 연결의 구성 구성 요소 무엇 무엇입니까입니까?,BD,BD,aws 스토리지 게이트웨이,가상 가상 게이트웨이,nat 게이트웨이,고객 고객,인터넷 인터넷,난,난,난,난
examtopics,CLF-01,24,회사 회사 두 두 vpc 사이의의 연결을 설정해야해야합니다합니다합니다 .VPC는 두 개의의 다른 aws 지역 있습니다 있습니다 있습니다 있습니다.어떤 aws 서비스 s s 기능을 사용하여이이 연결을 설정 할 수 있습니까?,B,B,aws 클라이언트 vpn,VPC 피어링,AWS Direct Connect,vpc 포인트 엔드,난,난,난,난,난
examtopics,CLF-01,25,aws 공유 책임 공유에 따르면 따르면 아마존 RDS를 사용하여하여 데이터베이스를 호스팅 할 할 고객 고객은 책임이 있습니까 있습니까?,AC,A,데이터베이스 데이터베이스 대한에을을 관리합니다,Microsoft SQL Server를 설치하십시오,암호화 암호화 디자인,사소 사소 데이터베이스 한를를 적용하십시오,난,난,난,난,난
examtopics,CLF-01,26,Amazon EC2 인스턴스 2 사용 사용하여 구내 대신 대신 aws 클라우드에서에서을을 호스팅하면 몇 가지 장점 장점 무엇입니까입니까? (2 개 선택.),BDE,DE,EC2에는 운영에는 패치 패치 관리가 포함됩니다됩니다.,"EC2는 Amazon VPC, AWS CloudTrail 및 AWS Identity and Access Management (IAM)와 통합됩니다.",EC2에는 100%에는 수준 계약 (SLA)이 있습니다.,EC2에는 유연에는 유료 유료 요금 가격 가격이 있습니다 있습니다.,EC2에는 자동에는 비용 비용 최적 화가 있습니다 있습니다.,난,난,난,난
examtopics,CLF-01,27,Amazon EC2 인스턴스의 보안 그룹 그룹이 수정 수정되었는지 여부를 결정해야합니다합니다합니다.사용자 사용자 어떻게 어떻게는되었는지 확인 확인 수 있습니까?,C,C,Amazon EC2를 2하여 보안 보안 그룹이 변경되었는지 확인하십시오하십시오.,AWS Identity Access Management (IAM)를 사용 사용 보안 보안 그룹을 변경 변경 한 사용자 또는 역할을 확인하십시오하십시오.,aws cloudtrail ail 사용하여 보안 보안 그룹이 변경 변경 확인하십시오하십시오.,Amazon Cloudwatch atch 사용하여 보안 보안 그룹이 변경되었는지 확인하십시오하십시오.,난,난,난,난,난
examtopics,CLF-01,28,ddos으로부터 공격 공격 aws에서 실행 실행되는 응용 프로그램을을 보호하는 데 도움이되는되는 aws 서비스는입니까입니까?,C,C,Amazon Guardduty,aws waf,aws 방패,아마존 아마존,난,난,난,난,난
examtopics,CLF-01,29,Amazon EC2 인스턴스 2 방화 방화 벽 역할을하는하는 aws 서비스 또는 기능은 무엇입니까?,D,D,ACL,탄성 탄성 인터페이스,VPC,보안 보안,난,난,난,난,난
examtopics,CLF-01,30,aws 클라우드 가격 클라우드 모델 모델은 기존 온 프레미스 프레미스 스토리지 가격 모델과 어떻게 다릅니 까?,BC,B,aws 자원은 자원이이 발생하지 않습니다 않습니다,인프라 인프라 비용 운영 없습니다,선불 선불 약속 비용 없습니다,소프트웨어 소프트웨어 센스 라이이 없습니다 없습니다,난,난,난,난,난
examtopics,CLF-01,31,Amazon EC2 인스턴스가 있습니다.회사 회사이이는 사항을을 충족시키기 위해 무엇을 할 수 있습니까?,B,B,더 더 EC2 큰 크기 크기로 수직 스케일 스케일.,여러 여러 구역 가용성 수평 수평으로 스케일.,EC2 전용 인스턴스 전용 구매하십시오하십시오.,EC2 인스턴스 패밀리 인스턴스 컴퓨팅 컴퓨팅 최적 화 화 된 인스턴스로하십시오하십시오.,난,난,난,난,난
examtopics,CLF-01,32,회사 회사 온-프레미스 애플리케이션 배포주기주기는 3-4 주였습니다 .AWS 클라우드로로 마이그레이션 한 한 후 회사는 2-3 일 안 안에 응용 응용 프로그램 프로그램을 배포 할 수 있습니다.,C,A,탄력,유연성,민첩,회복력,난,난,난,난,난
examtopics,CLF-01,33,다음 다음 aws 중 중 프라이즈 지원에 포함 포함 된 것 무엇 무엇입니까입니까입니까?,AD,AD,aws 기술 계정 기술 기술 (TAM),aws 파트너 주도 파트너,aws 전문 서비스,aws에 대한에 소프트웨어 소프트웨어 통합 지원,중요한 문제의 경우 5 분 응답 시간,난,난,난,난
examtopics,CLF-01,34,Global Media Company는 AWS 조직을 사용하여 여러 AWS 계정을 관리합니다. 회사가 회원 계정에 대한 AWS 서비스에 대한 액세스를 제한하기 위해 어떤 AWS 서비스 또는 기능을 사용할 수 있습니까?,B,C,AWS Identity and Access Management (IAM),서비스 제어 정책 (SCP),조직 단위 (OUS),액세스 제어 목록 (ACLS),난,난,난,난,난
examtopics,CLF-01,35,회사는 직원의 AWS가 사전 정의 된 AWS 리소스 포트폴리오에 대한 액세스를 제한하려고합니다. 회사 가이 요구 사항을 충족하기 위해 어떤 솔루션을 사용해야합니까?,C,C,AWS 구성,AWS 소프트웨어 개발 키트 (SDK),AWS 서비스 카탈로그,AWS AppSync,난,난,난,난,난
examtopics,CLF-01,36,온라인 회사는 구내에서 워크로드를 운영하고 있으며 새로운 제품과 기능을 출시하기 위해 고군분투하고있었습니다.워크로드를 AWS로 마이그레이션 한 후 회사는 제품과 기능을 신속하게 출시 할 수 있으며 필요에 따라 인프라를 확장 할 수 있습니다.이 시나리오는이 시나리오가 설명합니까?,A,A,비즈니스 민첩성,고 가용성,보안,중앙 집중식 감사,난,난,난,난,난
examtopics,CLF-01,37,다음 중 AWS 클라우드의 장점은 무엇입니까?(2 개 선택.),BC,BC,사용자 소유 인프라의 AWS 관리,필요한 용량을 신속하게 바꿀 수있는 능력,규모의 높은 경제,배포 시간이 증가했습니다,고정 비용 증가,난,난,난,난
examtopics,CLF-01,38,AWS는 수십만 명의 사용자에 대한 사용량을 집계하여 저렴한 가격을 달성 할 수있는 능력을 가지고 있습니다. 이것은 AWS 클라우드의 어떤 장점을 설명합니까?,C,C,몇 분 안에 전 세계적으로 출시됩니다,속도와 민첩성을 높입니다,규모의 높은 경제,컴퓨팅 용량에 대한 추측은 없습니다,난,난,난,난,난
examtopics,CLF-01,39,회사에는 항상 실행중인 데이터베이스 서버가 있습니다.이 회사는 Amazon EC2 인스턴스에서 서버를 호스팅합니다.인스턴스 크기는 워크로드에 적합합니다.Workload는 1 년 동안 실행됩니다. EC2 인스턴스 구매 옵션은 이러한 요구 사항을 가장 비용 효율적으로 충족합니까?,A,A,표준 예약 인스턴스,주문형 인스턴스,스팟 인스턴스,컨버터블 예약 인스턴스,난,난,난,난,난
examtopics,CLF-01,40,회사는 고성능 NOSQL 데이터베이스가 필요한 모바일 앱을 개발하고 있습니다.이 데이터베이스에 어떤 AWS 서비스를 사용할 수 있습니까?(2 개 선택.),DE,BE,아마존 오로라,아마존 RDS,아마존 레드 시프트,Amazon DocumentDB (MongoDB 호환성),아마존 다이나 모드,난,난,난,난
examtopics,CLF-01,41,AWS 공유 책임 모델에 따르면 AWS의 책임은 무엇입니까?(2 개 선택.),BD,BD,Amazon EC2 게스트 운영 체제를 패치하십시오.,네트워크 인프라의 펌웨어를 업그레이드하십시오.,IAM 사용자에게는 비밀번호 회전을 적용하십시오.,에지 위치의 물리적 보안을 유지하십시오.,루트 사용자 계정에 대한 최소 특권 액세스를 유지하십시오.,난,난,난,난
examtopics,CLF-01,42,다음 중 AWS 클라우드에서 사용되는 네트워크 ACL의 기능은 무엇입니까?(2 개 선택.),AD,AD,그들은 무국적입니다.,그들은 상태가 있습니다.,트래픽을 허용하기 전에 모든 규칙을 평가합니다.,트래픽을 허용할지 여부를 결정할 때 가장 낮은 번호 규칙부터 시작하여 규칙을 순서대로 처리합니다.,인스턴스 수준에서 작동합니다.,난,난,난,난
examtopics,CLF-01,43,회사는 워크로드를 효과적으로 실행하도록 AWS 클라우드 인프라를 설계했습니다.이 회사는 또한 지원 프로세스를 지속적으로 개선하기위한 프로토콜을 갖추고 있습니다. AWS가 잘 구축 된 프레임 워크의 기둥은이 시나리오를 나타내는가?,D,D,보안,성능 효율성,비용 최적화,운영 효율성,난,난,난,난,난
examtopics,CLF-01,44,온 프레미스 워크로드와 AWS 클라우드 워크로드 사이에 개인 연결을 만들기 위해 어떤 AWS 서비스 또는 기능을 사용할 수 있습니까?,C,D,아마존 루트 53,아마존 마키,AWS Direct Connect,AWS Privatelink,난,난,난,난,난
examtopics,CLF-01,45,회사는 시간이 지남에 따라 AWS 청구 및 사용량을 그래픽으로 시각화해야합니다.회사는 또한 AWS 월별 비용에 대한 정보가 필요합니다. AWS 청구 및 비용 관리 도구는이 데이터를 그래픽 형식으로 제공합니까?,B,B,AWS 청구서,비용 탐색기,AWS 비용 및 사용 보고서,AWS 예산,난,난,난,난,난
examtopics,CLF-01,46,"회사는 AWS에서 생산 워크로드를 실행하려고합니다.이 회사는 지정된 AWS 기술 계정 관리자 (TAM) 컨시어지 서비스 및 하루 24 시간, 주 7 일, AWS 지원 계획이 이러한 요구 사항을 충족 할 수있는 기술 지원이 필요합니까?",B,B,AWS 기본 지원,AWS 엔터프라이즈 지원,AWS 비즈니스 지원,AWS 개발자 지원,난,난,난,난,난
examtopics,CLF-01,47,어떤 아키텍처 설계 원칙이 AWS 클라우드의 종속 구성 요소간에 고장을 분리 해야하는지 설명하는 것은 무엇입니까?,D,D,모 놀리 식 디자인을 사용하십시오.,자동화 설계.,단일 고장 지점을위한 설계.,느슨하게 부부 구성 요소.,난,난,난,난,난
examtopics,CLF-01,48,관리되는 데이터베이스 서비스는 어떤 AWS 서비스입니까?(2 개 선택.),CE,CE,Amazon Elastic Block Store (Amazon EBS),아마존 S3,아마존 RDS,아마존 탄성 파일 시스템 (Amazon EFS),아마존 다이나 모드,난,난,난,난
examtopics,CLF-01,49,회사는 애플리케이션에 여러 AWS 서비스에 AWS 무료 계층을 사용하고 있습니다. 무료 계층 사용 기간이 만료되거나 응용 프로그램 사용이 자유 계층 사용 제한을 초과하면 어떻게됩니까?,A,A,회사는 무료 계층 사용을 초과하는 사용에 대한 표준 지불 서비스 요금이 청구됩니다.,AWS 지원은 회사에 연락하여 표준 서비스 요금을 설정합니다.,이 회사는 무료 계층 기간 동안 소비 한 서비스와 무료 계층 기간 후에 서비스 소비에 대한 추가 요금이 부과됩니다.,회사의 AWS 계정은 동결되며 지불 계획이 설정된 후에는 다시 시작할 수 있습니다.,난,난,난,난,난
examtopics,CLF-01,50,한 회사는 최근 VPC에 Amazon RDS 인스턴스를 배치했습니다.회사는 민간 기업 네트워크로의 트래픽을 제한하기 위해 주립 방화벽을 구현해야합니다. 회사가 네트워크 트래픽을 RDS 인스턴스로 직접 제한하는 데 어떤 AWS 서비스 또는 기능을 사용해야합니까?,B,C,네트워크 ACL,보안 그룹,aws waf,Amazon Guardduty,난,난,난,난,난
examtopics,CLF-01,51,"기계 학습을 사용하여 Amazon S3 버킷에 저장된 민감한 데이터를 발견, 모니터링 및 보호하는 데 어떤 AWS 서비스가 사용됩니까?",B,B,AWS 방패,아마존 마키,AWS 네트워크 방화벽,아마존 코냑,난,난,난,난,난
examtopics,CLF-01,52,회사는 AWS에서 호스팅되는 응용 프로그램의 전반적인 가용성과 성능을 향상 시키려고합니다. 회사는 어떤 회사가 사용해야합니까?,C,C,아마존 연결,Amazon Lightsail,AWS 글로벌 가속기,AWS 스토리지 게이트웨이,난,난,난,난,난
examtopics,CLF-01,53,Amazon S3 버킷 또는 IAM 역할이 외부 엔티티와 공유되었는지 여부를 식별하는 AWS 서비스 또는 기능은 무엇입니까?,C,C,AWS 서비스 카탈로그,AWS 시스템 관리자,AWS IAM 액세스 분석기,AWS 조직,난,난,난,난,난
examtopics,CLF-01,54,"회사는 컴퓨팅 리소스 사용을 결정하기 위해 정교한 예측에 의존하고 싶지 않습니다.대신, 회사는 사용하는 자원에 대해서만 지불하기를 원합니다.회사는 또한 비즈니스 요구 사항을 충족시키기 위해 자원 사용량을 늘리거나 줄이는 능력이 필요합니다. AWS가 잘 알려진 프레임 워크의 기둥은 이러한 요구 사항과 일치합니까?",D,D,운영 효율성,보안,신뢰할 수 있음,비용 최적화,난,난,난,난,난
examtopics,CLF-01,55,회사는 AWS에서 워크로드를 시작하려고 시스템이 자동으로 실패로부터 복구해야합니다. AWS가 잘 알려진 프레임 워크의 기둥에는이 요구 사항이 포함되어 있습니까?,D,D,비용 최적화,운영 효율성,성능 효율성,신뢰할 수 있음,난,난,난,난,난
examtopics,CLF-01,56,전 세계 여러 AWS 지역에서 여러 VPC를 보유한 대기업은 VPC 간의 네트워크 연결을 연결하고 중앙에서 관리해야합니다. AWS 서비스 또는 기능이 이러한 요구 사항을 충족합니까?,B,B,AWS Direct Connect,AWS Transit Gateway,AWS 사이트 간 VPN,VPC 엔드 포인트,난,난,난,난,난
examtopics,CLF-01,57,AWS 비용 및 사용 보고서 데이터에서 시각적 보고서 작성을 지원하는 AWS 서비스는 무엇입니까?,B,A,아마존 아테나,아마존 Quicksight,아마존 클라우드 워치,AWS 조직,난,난,난,난,난
examtopics,CLF-01,58,CPU 및 네트워크 활용을위한 Amazon EC2 인스턴스를 모니터링하기 위해 어떤 AWS 서비스를 사용해야합니까?,C,C,아마존 검사관,AWS CloudTrail,아마존 클라우드 워치,AWS 구성,난,난,난,난,난
examtopics,CLF-01,59,회사는 다가오는 이벤트를 위해 높은 트래픽을받을 것으로 예상되는 새로운 웹 스토어를 출시 할 준비를하고 있습니다.웹 스토어는 AWS에서만 운영되며 회사는 AWS Enterprise 지원 계획을 가지고 있습니다. AWS 리소스는 이벤트 기간 동안 회사가 아키텍처 및 운영 지원을 어떻게 확장 해야하는지에 대한 지침을 제공 할 것입니까?,C,B,AWS 학대 팀,지정된 AWS 기술 계정 관리자 (TAM),AWS 인프라 이벤트 관리,AWS 전문 서비스,난,난,난,난,난
examtopics,CLF-01,60,사용자는 IAC (Infrastructure-as-Code) 원칙을 사용하여 AWS 클라우드에 서비스를 배포하려고합니다.이 요구 사항을 충족하는 데 AWS 서비스가 사용될 수 있습니까?,B,B,AWS 시스템 관리자,AWS CloudFormation,AWS CodeCommit,AWS 구성,난,난,난,난,난
examtopics,CLF-01,61,"여러 비즈니스 부서가있는 회사는 AWS 클라우드 환경을 중앙에서 관리하고 관리하려고합니다.회사는 생성 OFAWS 계정을 자동화하고, SCP (Service Control Policies)를 적용하며 청구 프로세스를 단순화하려고합니다. 회사가 이러한 요구 사항을 충족시키는 데 사용해야합니까?",A,A,AWS 조직,비용 탐색기,AWS 예산,AWS 신뢰할 수있는 고문,난,난,난,난,난
examtopics,CLF-01,62,AWS 공유 책임 모델에 따르면 AWS와 고객 공유는 무엇입니까?(2 개 선택.),BC,BC,"물리적, 환경 적 통제",패치 관리,클라우드 인식 및 교육,영역 보안,응용 프로그램 데이터 암호화,난,난,난,난
examtopics,CLF-01,63,회사는 AWS 클라우드에서 응용 프로그램을 시작하고 있습니다.응용 프로그램은 Amazon S3 스토리지를 사용합니다.많은 연구원 팀이 데이터에 대한 액세스를 공유 할 것입니다.회사는 실수로 덮어 쓰거나 삭제 된 데이터를 복구 할 수 있어야합니다. 회사 가이 요구 사항을 충족시키기 위해 어떤 S3 기능을 켜야합니까?,B,B,서버 액세스 로깅,S3 버전 관리,S3 수명주기 규칙,운송 및 휴식 중 암호화,난,난,난,난,난
examtopics,CLF-01,64,제조 회사에는 인터넷 연결이 느린 원격 사이트에서 실행되는 중요한 응용 프로그램이 있습니다.회사는 워크로드 툴을 마이그레이션하기를 원합니다.응용 프로그램은 대기 시간과 연결 중단에 민감합니다.회사는 최소한의 대기 시간 으로이 애플리케이션을 호스팅 할 수있는 솔루션을 원합니다. 회사가 이러한 요구 사항을 충족하기 위해 어떤 AWS 서비스 또는 기능을 사용해야합니까?,BD,B,가용 영역,AWS 지역 구역,AWS 파장,AWS 전초 기지,난,난,난,난,난
examtopics,CLF-01,65,회사는 AWS 클라우드의 온-프레미스 데이터 센터에서 VPC로 응용 프로그램을 마이그레이션하려고합니다.이러한 응용 프로그램은 온 프레미스 리소스에 액세스해야합니다. 어떤 조치가 이러한 요구 사항을 충족합니까?(2 개 선택.),BD,AD,AWS 서비스 카탈로그를 사용하여 마이그레이션 할 수있는 온 프레미스 리소스 목록을 식별하십시오.,온 프레미스 장치와 VPC의 가상 개인 게이트웨이간에 VPN 연결을 만듭니다.,Amazon Cloudfront 배포판을 사용하여 온 프레미스 리소스에 가까운 콘텐츠 전달을 가속화합니다.,온 프레미스 데이터 센터와 AWS 간의 AWS 직접 연결 연결을 설정하십시오.,Amazon Cloudfront를 사용하여 온 프레미스 웹 서버를 통해 제공되는 정적 웹 컨텐츠에 대한 액세스를 제한하십시오.,난,난,난,난
examtopics,CLF-01,66,회사는 AWS 클라우드를 사용하여 완전히 관리되는 환경에서 실행중인 데스크탑 애플리케이션에 대한 안전한 액세스를 제공하려고합니다. 회사 가이 요구 사항을 충족시키기 위해 사용해야합니까?,B,A,아마존 S3,Amazon Appstream 2.0,AWS AppSync,AWS 전초 기지,난,난,난,난,난
examtopics,CLF-01,67,회사는 AWS 인프라에서 위협 탐지를 구현하려고합니다.그러나 회사는 추가 소프트웨어를 배포하고 싶지 않습니다. 회사는 이러한 요구 사항을 충족하기 위해 어떤 AWS 서비스를 사용해야합니까?,C,C,아마존 VPC,아마존 EC2,Amazon Guardduty,AWS Direct Connect,난,난,난,난,난
examtopics,CLF-01,68,Edge 위치를 사용하는 AWS 서비스는 무엇입니까?,B,B,아마존 오로라,AWS 글로벌 가속기,아마존 연결,AWS 전초 기지,난,난,난,난,난
examtopics,CLF-01,69,회사는 Docker 컨테이너에 응용 프로그램을 설치해야합니다. AWS 서비스는 컨테이너 호스트를 프로비저닝하고 관리 할 필요가 없습니까?,AC,C,AWS Fargate,Windows 파일 서버 용 Amazon FSX,Amazon Elastic Container Service (Amazon ECS),아마존 EC2,난,난,난,난,난
examtopics,CLF-01,70,어떤 AWS 서비스 또는 기능 확인 정책을 확인하고 사용자가 안전하고 기능적인 정책을 설정하는 데 도움이되는 실행 가능한 권장 사항을 제공합니까?,B,B,AWS 시스템 관리자,AWS IAM 액세스 분석기,AWS 신뢰할 수있는 고문,Amazon Guardduty,난,난,난,난,난
examtopics,CLF-01,71,"회사에는 화물선이 있습니다.화물선에는 인터넷 또는 인터넷 연결이없는 바다에서 데이터를 수집하는 센서가 있습니다.회사는 해상 데이터를 수집, 포맷 및 처리하고 나중에 데이터를 AWS로 옮겨야합니다. 회사가 이러한 요구 사항을 충족하기 위해 어떤 AWS 서비스를 사용해야합니까?",D,C,AWS IoT 코어,Amazon Lightsail,AWS 스토리지 게이트웨이,AWS 눈덩이 가장자리,난,난,난,난,난
